name,crunchbase_uuid,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
CapsuleFM,574b81e1-f87f-a3f8-5a63-dc3e52f5e126,organization,company,https://www.crunchbase.com/organization/capsulefm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,capsule.fm,http://capsule.fm,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1502726309/fp4ebh7dewnwit0xcax0.png",http://www.facebook.com/Capsulefm,http://twitter.com/capsulefm,http://www.linkedin.com/company/2672280,:,Kreuzberg,Berlin,DEU,"Personal, curated radio for you."
TA Trust Agents Internet,cf9d3841-976f-59b6-b2c6-691f66a52aad,organization,company,https://www.crunchbase.com/organization/ta-trust-agents-internet?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,trustagents.de,https://www.trustagents.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183821/856afba62ebe048e31c495c53fa482fe.png",https://www.facebook.com/trustagentsgmbh,https://twitter.com/trustagentsgmbh,,:,Berlin,Berlin,DEU,TA Trust Agents Internet is a full service digital advertising and marketing company.
Klash,14c4f1c9-3e25-eb80-d370-b6fb6982c9ad,organization,company,https://www.crunchbase.com/organization/klash?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,klashapp.com,http://www.klashapp.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184081/973633bf87754cb6cb785eddd9894075.jpg",https://www.facebook.com/klashapp,http://twitter.com/klashapp,,:,Berlin,Berlin,DEU,"Klash is an online platform allowing users to challenge and dare their friends to do anything via an iOS, desktop and web app."
Covus,8e5947a8-1bc7-4215-c836-5322348a6a40,organization,company,https://www.crunchbase.com/organization/covus?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,covus.com,http://www.covus.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184247/d0518269dd80c97651ad9193bf113654.png",,,,:,Berlin,Berlin,DEU,Covus is a venture builder focusing on data driven lead generation technology at big data scale.
Atheneum,2dcb1738-e722-8137-9934-bcb49dee047b,organization,company,https://www.crunchbase.com/organization/atheneum-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,atheneum-partners.com,http://www.atheneum-partners.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184719/8ce600d058e6d6bdc6e1b5b519fe8911.png",https://www.facebook.com/atheneump,https://www.twitter.com/atheneumexpert,http://www.linkedin.com/company/1120548,:,Berlin,Berlin,DEU,Atheneum empowers business decisions by providing clients with in-depth market insight via Atheneum Expert Platform.
Twisper,13afecea-da41-0bff-ed7b-2eff5998eed1,organization,company,https://www.crunchbase.com/organization/twisper?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,twisper.com,http://twisper.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184963/0cf634947c82aa8db32a7ddac91d3458.png",http://www.facebook.com/twisper,http://twitter.com/twisper_travel,http://www.linkedin.com/company/twisper-travel-gmbh,:,Berlin,Berlin,DEU,Twisper is a mobile social application that lets users suggest places for others to visit that are less commonly known.
GuestReview,bfbee31d-1961-dde6-d091-7c1da6a0e3f4,organization,company,https://www.crunchbase.com/organization/guestreview?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,guest-review.com,http://www.guest-review.com,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,:,Berlin,Berlin,DEU,"Online survey, reviews, guestbook"
fortrabbit,70825a11-ffac-20fb-586e-fda119366ba3,organization,company,https://www.crunchbase.com/organization/fortrabbit?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fortrabbit.com,http://www.fortrabbit.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1499778658/pk7jknpzm6fu4w2yzzst.png",https://www.facebook.com/fortrabbit,http://twitter.com/fortrabbit,https://www.linkedin.com/company-beta/2625289/,:,Berlin,Berlin,DEU,"PHP as a Service. fortrabbit is a fully automated, self provisioning cloud hosting platform for PHP."
Mila,dbc716da-53aa-8eac-b8f4-19ef7e3ad921,organization,company,https://www.crunchbase.com/organization/mila?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mila.com,http://www.mila.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1456836272/hgytkv8wl1gooh94yoh3.jpg",https://www.facebook.com/mila,http://twitter.com/meetmila,https://www.linkedin.com/company/mila,:,Berlin,Berlin,DEU,"Mila is a crowd services platform. On Mila.com, users can find, book, and rate tech-savvy people or offer their technical know-how."
Pngbx,e926ebf9-2785-c6d9-40f8-c01b3bd8b251,organization,company,https://www.crunchbase.com/organization/pngbx?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,pngbx.com,http://www.pngbx.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397185391/ea29533c93e78c1f5ad4ac4e3ccb4a3e.png",,http://twitter.com/pngbx,,:,Berlin,Berlin,DEU,Pngbx /piNGboks/ helps movie lovers organize and access their movie library in seamless way.
